,,,,,,,,,,,,,,,,,,,,,,
SamplingDate,SO2_6AM_10AM,SO2_10AM_2PM,SO2_2PM_6PM,SO2_6PM_10PM,SO2_10PM_2AM,SO2_2AM_6AM,NO2_6AM_10AM,NO2_10AM_2PM,NO2_2PM_6PM,NO2_6PM_10PM,NO2_10PM_2AM,NO2_2AM_6AM,RSPM_6AM_2PM,RSPM_2PM_10PM,RSPM_10PM_6AM,SPM_6AM_2PM,SPM_2PM_10PM,SPM_10PM_6AM,RSPM,SO2,SPM,NO2
19/09/2008,4,,6.7,4,10.8,4,40.3,,54.8,53.7,44.9,33.6,229,114,55,273,409,81,132.6666,5.9,254.3333,45.46
23/09/2008,6.7,8.3,,8,4,4,43.3,59.3,,55.2,24.6,55.5,69,92,54,114,168,138,71.6666,6.2,140,47.58
26/09/2008,4,15,,7.8,19.1,4,50.8,24.6,,44.8,45.9,34.3,163,60,40,265,124,124,87.6666,9.98,171,40.08
30/09/2008,4.9,7.5,,4,6.7,12.2,19.7,31.3,,25.4,49.2,35.8,90,101,91,201,277,143,94,7.06,207,32.28
4/3/2008,9,9.8,12.5,4,4,4,44.3,35.8,43.6,29.8,28,22.4,114,132,303,422,299,309,183,7.2166,343.3333,33.9833
7/3/2008,8.2,8.3,4,9.1,4,4,26.9,28,21.5,30.2,21.3,17.9,283,171,93,452,435,254,182.3333,6.2666,380.3333,24.3
11/3/2008,8.9,11.3,4,4,4,4,37.3,33.9,33.6,46.3,20.1,16.8,123,99,41,251,247,128,87.6666,6.0333,208.6666,31.3333
14/03/2008,4,4,5.8,4,4,5.8,24.4,30.5,30.1,30,25.7,17.9,77,132,45,116,197,93,84.6666,4.6,135.3333,26.4333
18/03/2008,12.5,10.8,9.1,4,4,6.7,40.3,32.5,41.4,33.6,38,31.3,84,70,44,225,168,63,66,7.85,152,36.1833
25/03/2008,108,7.4,8.3,4,4,4,31.3,27.5,32.5,30.7,16.8,16.8,129,105,135,211,116,186,123,22.6166,171,25.9333
28/03/2008,7.5,12.7,13.3,4,4,4,43.6,52.4,35.8,37.1,40.3,28,145,119,43,194,200,94,102.3333,7.5833,162.6666,39.5333
12/8/2008,4,4,4,6.7,4,4.9,47.4,41.4,87.3,31.3,39.2,22.4,51,110,70,131,191,78,77,4.6,133.3333,44.8333
19/08/2008,4,4,4,4,4,4,104.9,43.6,31.3,26.9,22.4,13.4,104,123,145,275,275,179,124,4,243,40.4166
22/08/2008,4,,20,4,8.3,4,35.8,,13.4,25.7,35.8,31.3,93,143,24,236,401,101,86.6666,8.06,246,28.4
26/08/2008,5.8,,4,,4,7.5,26.9,,23.9,,28.5,22.4,56,113,79,130,189,102,82.6666,5.325,140.3333,25.425
29/08/2008,4,,11.8,,,,77.6,,90.3,,,,88,,,180,,,,,,
2/3/2007,9.1,11.6,14.1,17.5,11.6,8.3,20.1,23.5,26.9,30.2,17.9,12.3,80,121,71,374,439,164,90.66666667,12.03333333,325.66666667,21.81666667
13/03/2007,,,9.1,10.8,14.1,11.6,,,19,23.5,26.9,15.7,,90,68,,241,151,79,11.4,196,21.275
16/03/2007,,,8.3,11.6,14.1,10.8,,,17.9,21.3,25.7,19,,156,57,,430,161,106.5,11.2,295.5,20.975
20/03/2007,9.1,11.6,14.1,10.6,,,19,23.5,29.1,24.6,,,117,134,,307,307,,125.5,11.35,307,24.05
23/03/2007,9.1,11.6,20,13.3,10.8,8.3,14.5,17.9,33.2,26.9,20.1,19,129,91,65,352,484,79,95,12.18333333,305,21.93333333
27/03/2007,,,19,11.6,15,9.1,,,24.2,17.9,10.1,14.5,,110,64,,331,113,87,13.675,222,16.675
30/03/2007,,,13.3,17.5,15.8,10.8,,,23.5,26.9,34.7,19,,144,89,,393,104,116.5,14.35,248.5,26.025
27/06/2008,,9.1,10.8,7.5,4,4,,23.5,17.9,20.1,16.8,16.8,73,84,64,230,179,98,73.6666,7.08,169,19.02
4/12/2007,,7.5,9.1,4,5.8,4,,14.5,35.8,26.9,17.9,16.8,386,247,46,408,583,93,226.3333,6.08,361.3333,22.38
7/12/2007,,4,6.7,5.5,4,17.5,,16.5,14.5,19.4,19,14.5,223,169,63,239,332,148,151.6666,7.54,239.6666,16.7799
11/12/2007,4,7.5,10,6.7,4,4,19.2,19,16.8,29.8,12.3,12.3,156,150,53,197,517,156,119.6666,6.0333,290,18.2333
14/12/2007,,10.8,6.7,4,4,5,,24.6,22.4,20.1,17.9,16.8,170,85,132,338,233,173,129,6.1,248,20.36
18/12/2007,,9.1,,,6.7,4,,31.3,,,20.1,14.5,115,,22,219,,81,68.5,,150,
28/12/2007,,,4,4,,,,,31.7,43.6,,,,101,,,293,,,,,
2/5/2008,,8.3,10.8,4,4,5.8,,31.3,34.7,28,28,21.3,256,149,56,479,399,78,153.6666,6.58,318.6666,28.66
6/5/2008,,9.2,6.7,4,4,4,,20.7,30.2,25.7,22.4,21.3,,127,109,,224,140,118,5.58,182,24.06
9/5/2008,4,9.1,8.3,5.8,4,4,41.6,36.9,29.1,22.4,28,32.5,253,130,58,382,182,121,147,5.8666,228.3333,31.75
13/05/2008,8.6,10.8,4,6.7,4,4,39.6,32.5,36.9,29.1,28,28,85,117,77,159,293,101,93,6.35,184.3333,32.35
16/05/2008,7.5,8.3,11.6,6.7,4,4,26.9,23.5,30.2,28,17.9,16.8,94,160,76,358,190,143,110,7.0166,230.3333,23.8833
20/05/2008,,9.1,10.8,4,8.3,4,,32.5,44.8,26.9,38,26.9,238,228,103,285,263,197,189.6666,7.24,248.3333,33.82
23/05/2008,,10,12.5,4,4,6.7,,21.3,20.1,24.6,29.1,16.8,114,116,68,234,168,83,99.3333,7.44,161.6666,22.38
27/05/2008,4,10.8,9.1,4,4,4,24.6,29.1,20.1,24.6,17.9,21.3,100,72,83,242,149,93,85,5.9833,161.3333,22.9333
30/05/2008,9.1,13.6,7.5,4,4,4,29.1,29.3,33.6,20.1,21.3,17.9,70,102,45,208,287,90,72.3333,7.0333,195,25.2166
3/6/2008,,9.1,7.5,4,4,4,,30.2,24.7,28,21.3,20.1,147,124,132,312,377,214,134.3333,5.72,301,24.86
6/6/2008,,,11.4,12.5,4,4,,,32,34.7,22.4,20.1,,55,61,,136,69,58,7.975,102.5,27.3
10/6/2008,,10.8,12.5,4,4,4,,38,32.5,35.8,21.3,24.6,169,97,73,342,113,102,113,7.06,185.6666,30.44
13/06/2008,7.8,8.9,9.1,4,4,4,43.3,37.3,34.7,24.4,21.3,25.7,85,92,46,94,170,76,74.3333,6.3,113.3333,31.1166
17/06/2008,9.1,7.5,8.3,4,4,4,32.5,34.7,28,22.4,26.9,30.3,111,69,48,128,133,50,76,6.15,103.6666,29.1333
20/06/2008,,,9.1,7.6,4,4,,,28,28.1,20.1,21.3,,67,66,,100,88,66.5,6.175,94,24.375
24/06/2008,,,,4,7.5,4,,,,21.9,20.1,21.3,,,45,,,101,,,,
1/2/2008,,5,8.3,4,4,4,,32.5,38,40.3,21.3,19,97,194,59,114,339,69,116.6666,5.06,174,30.22
5/2/2008,,5,6.7,9.7,4,15,,28,38,21,23.5,19,329,210,69,354,385,181,202.6666,8.08,306.6666,25.9
8/2/2008,,4,4,,4,4,,17.9,9,,9,107,319,97,44,349,359,74,153.3333,4,260.6666,35.725
12/2/2008,4,8.3,13.3,19,4,4,24.9,33.6,17.9,20.5,49.2,39.2,200,96,78,300,334,79,124.6666,8.7666,237.6666,30.8833
15/02/2008,10.6,4,4,4,4,4,17.9,25.7,17.9,33,10.1,9,135,168,78,467,390,87,127,5.1,314.6666,18.9333
19/02/2008,,7.5,9.1,4,4,4,,36.9,41.4,21.3,23.5,22.4,153,80,98,462,195,210,110.3333,5.72,289,29.1
22/02/2008,,10.5,6.7,5.3,4,4,,26.9,25.7,38.2,20.1,16.8,95,96,97,327,323,149,96,6.1,266.3333,25.54
26/02/2008,,10.3,,10,4,4,,46.8,,31.3,40.3,17.9,,119,98,,342,147,108.5,7.075,244.5,34.075
29/02/2008,,7.8,6.7,4.5,4,4,,32.8,20.1,24.4,33.6,21.3,452,114,66,473,355,197,210.6666,5.4,341.6666,26.44
1/8/2008,,,9.9,4,4,8.3,,,50.4,64.9,47,56,,101,118,,234,152,109.5,6.55,193,54.575
5/8/2008,8.6,4.9,4,4,4,37.4,40.9,33.6,29.1,26.9,71.6,87.3,131,188,79,340,195,163,132.6666,10.4833,232.6666,48.2333
8/8/2008,8.3,,7.5,4,4,5.8,22.4,,35.8,57.1,49.2,56,94,71,81,234,210,124,82,5.92,189.3333,44.1
1/7/2008,4,10,7.5,4,4,4,29.8,30.5,23.5,22.8,16.8,12.3,147,71,56,172,152,83,91.3333,5.5833,135.6666,22.6166
8/7/2008,4,9.1,11.6,4,4,5,48.8,30.2,20.1,16.6,22.4,35.8,85,102,61,344,320,68,82.6666,6.2833,244,28.9833
11/7/2008,4,6.7,5,4,4,8.3,31.3,25.7,21.3,23.5,14.5,16.8,97,76,49,128,127,108,74,5.3333,121,22.1833
15/07/2008,,12.5,8.3,5.8,4,4,,25.7,20.1,22.4,15.7,12.3,102,61,61,262,235,96,74.6666,6.92,197.6666,19.24
18/07/2008,,9.1,8.3,4,4,4,,26.9,22.4,21.7,19,16.8,119,107,64,234,332,88,96.6666,5.88,218,21.36
22/07/2008,4,,4,9.1,4.2,4,75.2,,34.7,31.3,49.2,33.6,,96,75,,218,136,85.5,5.06,177,44.8
25/07/2008,4,4.1,7.5,4,5.8,9.9,65.8,70.2,45.9,44.8,59.3,40.3,74,129,113,104,202,114,105.3333,5.8833,140,54.3833
5/1/2007,14.1,14.4,12.5,12.5,5.8,4,9,44.8,70.1,33.6,28,12.3,70,166,105,228,295,210,113.6666,10.55,244.3333,32.9666
9/1/2007,,,10,5.8,4,4,,,89.5,53.7,58.2,34.7,,125,53,,370,128,89,5.95,249,59.025
7/8/2007,5.8,6.7,8.3,5.8,4.2,5,20.1,26.9,47,23.5,22.4,21.3,79,59,55,89,102,107,64.3333,5.9666,99.3333,26.8666
10/8/2007,16.6,11.6,8.3,4,4,6.7,44.8,28,23.5,21.5,60.4,19,54,39,38,67,58,75,43.6666,8.5333,66.6666,32.8666
14/08/2007,4,4,4,4,4,4,54.8,54.8,37.4,26.9,39.2,39.2,69,59,30,149,124,78,52.6666,4,117,42.05
17/08/2007,4.2,10.8,4,4,5,5.8,53.7,11.2,102.9,89.5,25.7,20.1,82,75,52,216,147,74,69.6666,5.6333,145.6666,50.5166
21/08/2007,7.5,4,5,5.8,4.3,,40.3,16.8,9,9,31.3,,93,140,30,300,246,107,87.6666,5.32,217.6666,21.28
24/08/2007,8,10,13.8,10.9,,,31,20.1,37,46,,,142,79,,150,140,,110.5,10.675,145,33.525
28/08/2007,8.3,5,5.8,5,4,4,14.5,9,34.7,57.1,12.3,11.2,50,153,123,111,193,146,108.6666,5.35,150,23.1333
31/08/2007,4,13.3,11.6,4.2,9.1,6.7,11.2,23.5,31.3,11.2,10.1,9,96,96,42,218,172,93,78,8.15,161,16.05
22/09/2006,8.3,10.8,18,12.5,10.8,8.3,41.4,52.6,63.9,44.8,39.2,33.6,76,82,43,246,169,84,67,11.45,166.33333333,45.91666667
26/09/2006,7.5,9.1,17,12.5,,,49.2,56,40.3,34.7,,,80,114,,237,190,,97,11.525,213.5,45.05
29/09/2006,7.5,10.8,15,11.6,,,36.9,44.8,50.4,43.6,,,79,78,,250,150,,78.5,11.225,200,43.925
10/6/2006,8.3,12.5,15,17.5,11.6,9.1,31.3,41.4,45.9,33.6,32.5,28,118,132,52,311,277,99,100.66666667,12.33333333,229,35.45
10/10/2006,11.1,14.1,11.6,17.5,15,9.1,28.3,44.8,36.9,33.6,26.9,22.4,109,94,66,171,271,82,89.66666667,13.06666667,174.66666667,32.15
17/10/2006,9.1,13.3,16.6,20,17.7,10.8,35.8,48.1,43.6,33.6,31,31.3,69,148,41,270,202,105,86,14.58333333,192.33333333,37.23333333
27/10/2006,8.3,12.5,19,15,12,7.5,41,45,57,49,54,39,40,53,42,102,144,88,45,12.38333333,111.33333333,47.5
31/10/2006,,15,19,,21,12,,36,52,,72,63,69,68,60,120,167,83,65.66666667,16.75,123.33333333,55.75
4/5/2007,,,,2,5,2,,,,19,67.1,39.2,,,45,,,56,,,,
8/5/2007,8.3,5.8,,,12.5,2,36.9,45.9,,,50.4,22.4,65,,54,173,,81,59.5,7.15,127,38.9
11/5/2007,2,2,14.1,4.2,9.1,2,56,46.2,43.6,47,70.5,64.9,118,106,59,389,296,141,94.3333,5.5666,275.3333,54.7
15/05/2007,2,13.3,10.8,5.8,2,2,19,32.5,38,49.2,24.7,21.3,214,148,62,377,367,75,141.3333,5.9833,273,30.7833
18/05/2007,2,2,5,10,2,16.6,34.7,44.8,24.6,73.9,52.6,59.3,162,142,116,264,437,120,140,6.2666,273.6666,48.3166
22/05/2007,14.1,9.1,14.1,2,2,2,34.7,23.5,19,16.8,28,19,76,84,56,188,171,139,72,7.2166,166,23.5
25/05/2007,2,6.7,9.1,10.8,4.2,2,20.1,42.5,34.7,22.4,61.5,15.7,76,76,55,148,170,111,69,5.8,143,32.8166
29/05/2007,9.1,7.5,5,11.6,14.1,2,30.2,16.8,50.4,54.8,35.8,19,173,123,89,534,260,188,128.3333,8.2166,327.3333,34.5
12/1/2007,,,4,5.8,9.1,6.7,,,53.7,40.3,24.6,20.1,,159,51,,531,158,105,6.4,344.5,34.675
19/01/2007,4,4,,,4,4,16.8,20.1,9,9,19,21.3,119,,86,369,,189,102.5,4,279,15.8666
23/01/2007,4,4,,,4,4,21.3,23.5,,,36.9,33.6,142,,112,246,,199,127,4,222.5,28.825
1/6/2007,4,5,4,12.5,5.8,4,47,25.7,26.9,24.6,20.1,23.5,118,187,44,369,324,62,116.3333,5.8833,251.6666,27.9666
5/6/2007,,,4,10,9.1,4,,,49.2,20.9,28,16.8,,85,55,,307,64,70,6.775,185.5,28.725
8/6/2007,4,8.3,5,13.3,10.8,4,28,13.4,32.4,17.9,20.1,17.9,96,131,78,195,314,180,101.6666,7.5666,229.6666,21.6166
12/6/2007,4,5,15,5.8,4,4,29.1,33.6,49.2,24.6,20.1,22.4,89,179,36,300,318,80,101.3333,6.3,232.6666,29.8333
15/06/2007,4.2,10,11.6,7.5,5.8,4,48.1,45.9,67.1,32.5,28,60.4,68,148,56,349,302,100,90.6666,7.1833,250.3333,47
19/06/2007,4,4,13.3,8.3,7.5,11.6,20.1,14.5,30.3,21.3,26.9,23.5,181,131,61,192,293,585,124.3333,8.1166,356.6666,22.7666
22/06/2007,,4,8,9.7,,,,34.7,22.8,62.9,,,,76,,,131,,,,,
26/06/2007,6.7,8.3,10.8,7.5,4.2,4,36.9,53.7,28,51.5,58.2,23.5,84,71,73,144,105,123,76,6.9166,124,41.9666
29/06/2007,6.7,10,12.5,4,5.8,8.3,34.7,40.3,28,39.2,23.5,22.4,149,103,48,302,245,66,100,7.8833,204.3333,31.35
3/11/2006,8.3,10.8,,,11.6,9.1,45.9,52.6,,,33.6,38,84,,39,200,,92,61.5,9.95,146,42.525
7/11/2006,10,16.6,12.5,15,11.6,8.3,40.3,51.6,60.4,56,31.3,34.7,52,112,60,122,187,83,74.66666667,12.33333333,130.66666667,45.71666667
10/11/2006,12.1,10.8,13.3,15.8,17.5,14.3,37.4,38,54.8,49.2,23.5,33.6,73,77,51,184,160,171,67,13.96666667,171.66666667,39.41666667
14/11/2006,7.5,15,18.3,14.1,10.8,4,24.6,30.2,34.7,21.3,29.1,69.4,74,82,54,288,179,139,70,11.61666667,202,34.88333333
17/11/2006,9.9,7.5,11.6,16.6,17.5,4,16.8,29.1,33.6,24.6,34.7,31.3,60,83,23,217,95,269,55.33333333,11.18333333,193.66666667,28.35
21/11/2006,4,16.6,12.5,7.5,10.8,4,33.6,21.3,18,48.1,33.6,16.8,49,100,78,140,288,121,75.66666667,9.23333333,183,28.56666667
24/11/2006,4,16,7.5,9.1,13.3,6.6,69.4,35.8,43.6,34.7,21.3,21.3,76,106,54,188,232,138,78.66666667,9.41666667,186,37.68333333
28/11/2006,10.8,15,19.9,7.5,8.3,4,21.3,31.3,25.7,36.9,41.4,25.7,80,210,102,302,607,227,130.66666667,10.91666667,378.66666667,30.38333333
1/12/2006,15,5.8,13.3,10,7.5,4,75,56,45.9,69.4,48.1,43.6,133,153,82,395,495,187,122.66666667,9.26666667,359,56.33333333
5/12/2006,4,4,4,4,8.3,4,22.4,35.8,38,32.5,41.4,58.2,129,111,74,409,342,137,104.66666667,4.71666667,296,38.05
8/12/2006,4,7.5,29.1,9.1,4,4,33.6,35.8,53.7,44.8,32.5,39.2,243,265,168,,289,553,225.33333333,9.61666667,421,39.93333333
12/12/2006,4,10.8,14.1,6.7,9.1,4,33.6,35.8,24.6,32.5,30.2,53.7,89,103,69,303,312,200,87,8.11666667,271.66666667,35.06666667
15/12/2006,4,4,5,11.6,5.8,4.2,72.7,56,48.1,53.7,52.6,50.4,144,164,115,585,420,193,141,5.76666667,399.33333333,55.58333333
19/12/2006,9.1,10.8,13.3,15,9.1,7.5,16.8,20.1,44.8,28,13.4,32.5,130,178,90,380,431,173,132.66666667,10.8,328,25.93333333
22/12/2006,7.5,9.1,10.8,9.1,,,24.6,28,19,24.6,,,123,136,,324,413,,129.5,9.125,368.5,24.05
26/12/2006,9.1,10.8,13.3,15.8,11.6,8.2,48.1,42.5,31.3,32.4,30.2,34.7,140,106,104,327,265,259,116.66666667,11.46666667,283.66666667,36.53333333
29/12/2006,8.3,14.4,14.1,12.5,,,29.1,29.8,40.3,73.9,,,91,220,,238,490,,155.5,12.325,364,43.275
2/1/2007,2,12.5,15.8,8,16.6,8.3,19,28,45.9,77.9,49.2,62.7,119,131,96,352,313,172,115.3333,10.5333,279,47.1166
3/4/2007_237,14.1,10.8,6.7,14.1,9.1,5,26.9,42.5,67.1,58.2,53.7,36.9,162,121,62,287,352,127,115,9.9666,255.3333,47.55
3/4/2007_238,,,7.5,5,,,,,31.3,39.2,,,,77,,,188,,,,,
10/4/2007_237,12.5,8.4,7.5,4,,,63.8,20.1,45.9,36.9,,,110,138,,277,290,,124,8.1,283.5,41.675
10/4/2007_238,4,9.1,4.2,4,,,21.3,51.5,17.9,23.5,,,49,42,,125,81,,45.5,5.325,103,28.55
13/04/2007_237,4,,,,,,17.9,,,,,,81,,,338,,,,,,
13/04/2007_238,4.2,6.7,,,,,42.5,52.6,,,,,66,,,105,,,,,,
17/04/2007_237,5.8,7.5,13.3,4,,,31.3,48.1,61.5,24.6,,,88,81,,174,251,,84.5,7.65,212.5,41.375
17/04/2007_238,10,12.5,,,,,58.2,64.9,,,,,61,,,112,,,,,,
20/04/2007_237,,17.5,10.8,4,10,4,,50.4,36.9,26.9,70.5,33.6,93,58,169,201,61,204,106.6666,9.26,155.3333,43.66
20/04/2007_238,7.5,4,4,,,4,58.2,73.9,53.7,,,24.6,32,,7,65,,25,19.5,4.875,45,52.6
24/04/2007_237,5.8,8.3,4,4,4,4,59.3,61.5,16.8,43.6,19,50.4,124,88,68,239,174,136,93.3333,5.0166,183,41.7666
24/04/2007_238,5,4,4,22.4,9.1,5,26.9,35.8,24.6,41.4,21.3,43.6,41,32,51,79,44,154,41.3333,8.25,92.3333,32.2666
27/04/2007_237,4,13.3,4,4.2,,,17.9,66,21.3,29.1,,,97,86,,182,99,,91.5,6.375,140.5,33.575
27/04/2007_238,5,4,4,16.6,,,26.9,35.8,24.6,42.5,,,50,61,,132,69,,55.5,7.4,100.5,32.45
2/2/2007,,,9.1,7.5,10.8,5,,,23.5,67.1,44.8,38,,138,66,,432,292,102,8.1,362,43.3
6/2/2007,5,7.5,13.3,5,6.7,5.8,38,33.4,57.1,28,45.9,25.7,93,141,92,240,360,228,108,7.2,276,38
9/2/2007,8.3,5,5,5,5,5,48.1,29.2,38,24.6,20.1,35.8,120,123,361,321,420,538,201,5.5,426,32.6
13/02/2007,7.5,5,5,5,10.8,5,35.8,30.2,44.2,20.1,47,19,279,228,70,297,301,126,192,6.3,241,32.7
16/02/2007,10,13.9,,,,,52.6,72.4,,,,,80,,,217,,,,,,
20/02/2007,11.8,4.5,7.5,5,5,5,37.8,33,53.7,24.6,28,29.1,110,84,77,334,193,127,90,6.4,218,34.3
23/02/2007,,,5,12.5,5.8,7.5,,,38,70.5,30.2,19,,141,76,,375,197,108,7.7,286,39.4
27/02/2007,5,5,6.7,5,9.1,5,22.4,17.9,35.8,26.9,23.5,28,67,220,77,232,352,175,121,5.9,253,25.7
3/2/2007_237,5,11.6,7.5,5,5,12.5,63.8,28,38,44.8,33.6,31.3,73,58,68,89,122,93,66,7.7,101,39.9
3/2/2007_238,2,11.6,7.5,2,5,12.5,63.8,28,38,44.8,33.6,31.3,73,58,68,89,122,93,66.33333333,6.76666667,101.33333333,39.91666667
7/2/2007_237,5.8,5,4.2,5,5,5,25.7,30.2,35.8,32.5,38,34.7,65,93,69,112,202,93,75,5,135,32.8
7/2/2007_238,5.8,2,4.2,2,2,2,25.7,30.2,35.8,32.5,38,34.7,65,93,69,112,202,93,75.66666667,3,135.66666667,32.81666667
10/2/2007_237,4.2,7.5,12,5.8,5,5,30.2,32.5,43,30.2,38,40,58,41,55,85,121,83,51,6.5,96,35.6
10/2/2007_238,4.2,7.5,12,5.8,5,2,30.2,32.5,43,30.2,38,40.3,58,41,55,85,121,83,51.33333333,6.08333333,96.33333333,35.7
21/02/2007_237,5,5,5,5,12.5,4.2,16.8,43.4,21.3,17.9,53.7,40.3,60,73,47,149,159,144,60,6.1,150,32.2
21/02/2007_238,2,2,2,2,12.5,4.2,16.8,43.4,21.3,17.9,53.7,40.3,60,73,47,149,159,144,60,4.11666667,150.66666667,32.23333333
3/7/2007,,12.2,5.8,10,12.5,,,74.6,40.3,43.6,33.6,,,57,59,,68,84,58,10.125,76,48.025
6/7/2007,4,6.7,9.1,7.2,,,19,26.9,45.9,42.7,,,84,88,,147,209,,86,6.75,178,33.625
10/7/2007,,5,6.7,5.8,4.2,4,,43.6,44.8,34.7,62.7,31.3,,75,77,,191,88,76,5.14,139.5,43.42
13/07/2007,5.8,9.1,8.3,12.4,6.7,4,51.5,24.6,29.1,63.9,24.6,26.9,64,75,90,177,216,96,76.3333,7.7166,163,36.7666
